Sum of num_iters,Column Labels,,
Row Labels,FALSE,TRUE,Grand Total
0,1012,671,1683
2,243,108,351
2,9,9,18
3,99,37,136
4,99,42,141
5,36,20,56
3,320,216,536
2,23,23,46
3,99,67,166
4,99,27,126
5,99,99,198
4,202,242,444
2,15,15,30
3,43,29,72
4,45,99,144
5,99,99,198
5,247,105,352
2,17,17,34
3,32,26,58
4,99,32,131
5,99,30,129
1,696,766,1462
2,163,163,326
2,14,14,28
3,21,21,42
4,29,29,58
5,99,99,198
3,152,152,304
2,19,19,38
3,16,16,32
4,18,18,36
5,99,99,198
4,223,223,446
2,8,8,16
3,17,17,34
4,99,99,198
5,99,99,198
5,158,228,386
2,12,12,24
3,29,99,128
4,18,18,36
5,99,99,198
2,711,626,1337
2,185,159,344
2,47,21,68
3,18,18,36
4,21,21,42
5,99,99,198
3,168,74,242
2,14,14,28
3,21,17,38
4,34,17,51
5,99,26,125
4,155,227,382
2,12,12,24
3,27,99,126
4,17,17,34
5,99,99,198
5,203,166,369
2,14,15,29
3,21,20,41
4,69,32,101
5,99,99,198
3,1142,659,1801
2,369,369,738
2,72,72,144
3,99,99,198
4,99,99,198
5,99,99,198
3,230,151,381
2,16,16,32
3,16,16,32
4,99,99,198
5,99,20,119
4,229,69,298
2,11,11,22
3,20,21,41
4,99,18,117
5,99,19,118
5,314,70,384
2,17,18,35
3,99,18,117
4,99,19,118
5,99,15,114
4,875,541,1416
2,259,135,394
2,99,22,121
3,35,35,70
4,26,26,52
5,99,52,151
3,196,154,350
2,22,22,44
3,22,22,44
4,99,58,157
5,53,52,105
4,154,138,292
2,20,20,40
3,59,43,102
4,45,45,90
5,30,30,60
5,266,114,380
2,99,19,118
3,32,30,62
4,36,36,72
5,99,29,128
5,1197,913,2110
2,287,109,396
2,27,27,54
3,99,24,123
4,62,26,88
5,99,32,131
3,334,265,599
2,37,17,54
3,99,59,158
4,99,99,198
5,99,90,189
4,331,293,624
2,99,99,198
3,34,34,68
4,99,99,198
5,99,61,160
5,245,246,491
2,22,22,44
3,25,26,51
4,99,99,198
5,99,99,198
6,1103,691,1794
2,318,284,602
2,82,48,130
3,38,38,76
4,99,99,198
5,99,99,198
3,243,95,338
2,18,18,36
3,27,27,54
4,99,20,119
5,99,30,129
4,311,158,469
2,14,14,28
3,99,18,117
4,99,27,126
5,99,99,198
5,231,154,385
2,11,10,21
3,99,23,122
4,99,99,198
5,22,22,44
7,840,526,1366
2,258,218,476
2,30,30,60
3,30,30,60
4,99,59,158
5,99,99,198
3,101,97,198
2,27,27,54
3,23,23,46
4,24,23,47
5,27,24,51
4,155,81,236
2,12,11,23
3,22,22,44
4,22,23,45
5,99,25,124
5,326,130,456
2,29,28,57
3,99,24,123
4,99,23,122
5,99,55,154
8,952,603,1555
2,258,133,391
2,30,30,60
3,99,43,142
4,30,30,60
5,99,30,129
3,237,315,552
2,99,99,198
3,21,18,39
4,18,99,117
5,99,99,198
4,227,89,316
2,9,9,18
3,20,19,39
4,99,36,135
5,99,25,124
5,230,66,296
2,13,12,25
3,99,12,111
4,99,22,121
5,19,20,39
9,797,812,1609
2,171,171,342
2,19,19,38
3,25,25,50
4,28,28,56
5,99,99,198
3,129,142,271
2,11,11,22
3,22,33,55
4,47,49,96
5,49,49,98
4,262,263,525
2,19,19,38
3,99,99,198
4,45,46,91
5,99,99,198
5,235,236,471
2,45,46,91
3,46,46,92
4,45,45,90
5,99,99,198
10,1144,851,1995
2,317,203,520
2,20,20,40
3,99,99,198
4,99,45,144
5,99,39,138
3,324,207,531
2,27,25,52
3,99,36,135
4,99,99,198
5,99,47,146
4,252,188,440
2,99,33,132
3,25,24,49
4,29,32,61
5,99,99,198
5,251,253,504
2,24,25,49
3,29,30,59
4,99,99,198
5,99,99,198
11,1071,1005,2076
2,241,241,482
2,22,22,44
3,21,21,42
4,99,99,198
5,99,99,198
3,257,259,516
2,20,20,40
3,39,41,80
4,99,99,198
5,99,99,198
4,322,322,644
2,25,25,50
3,99,99,198
4,99,99,198
5,99,99,198
5,251,183,434
2,31,32,63
3,99,30,129
4,22,22,44
5,99,99,198
12,1030,899,1929
2,287,286,573
2,31,30,61
3,58,58,116
4,99,99,198
5,99,99,198
3,287,302,589
2,32,30,62
3,57,74,131
4,99,99,198
5,99,99,198
4,199,190,389
2,30,30,60
3,41,41,82
4,99,90,189
5,29,29,58
5,257,121,378
2,32,32,64
3,99,27,126
4,27,27,54
5,99,35,134
13,1096,710,1806
2,321,295,616
2,24,24,48
3,99,99,198
4,99,73,172
5,99,99,198
3,396,167,563
2,99,20,119
3,99,40,139
4,99,53,152
5,99,54,153
4,188,126,314
2,29,29,58
3,99,39,138
4,30,29,59
5,30,29,59
5,191,122,313
2,29,30,59
3,30,30,60
4,33,33,66
5,99,29,128
14,1093,781,1874
2,240,170,410
2,22,22,44
3,99,29,128
4,20,20,40
5,99,99,198
3,231,231,462
2,17,17,34
3,16,16,32
4,99,99,198
5,99,99,198
4,310,207,517
2,13,13,26
3,99,54,153
4,99,41,140
5,99,99,198
5,312,173,485
2,15,15,30
3,99,26,125
4,99,99,198
5,99,33,132
15,1123,948,2071
2,316,173,489
2,99,33,132
3,19,19,38
4,99,46,145
5,99,75,174
3,280,309,589
2,13,12,25
3,69,99,168
4,99,99,198
5,99,99,198
4,269,208,477
2,77,26,103
3,57,44,101
4,36,39,75
5,99,99,198
5,258,258,516
2,31,31,62
3,29,29,58
4,99,99,198
5,99,99,198
16,1263,1092,2355
2,306,228,534
2,9,9,18
3,99,21,120
4,99,99,198
5,99,99,198
3,337,333,670
2,40,36,76
3,99,99,198
4,99,99,198
5,99,99,198
4,395,386,781
2,99,99,198
3,98,89,187
4,99,99,198
5,99,99,198
5,225,145,370
2,8,8,16
3,19,16,35
4,99,99,198
5,99,22,121
17,990,937,1927
2,240,174,414
2,21,21,42
3,21,21,42
4,99,99,198
5,99,33,132
3,239,239,478
2,13,13,26
3,28,28,56
4,99,99,198
5,99,99,198
4,257,270,527
2,29,29,58
3,99,99,198
4,99,99,198
5,30,43,73
5,254,254,508
2,25,25,50
3,99,99,198
4,99,99,198
5,31,31,62
18,1202,625,1827
2,306,103,409
2,18,18,36
3,99,29,128
4,90,22,112
5,99,34,133
3,356,176,532
2,99,51,150
3,59,65,124
4,99,36,135
5,99,24,123
4,350,206,556
2,53,53,106
3,99,99,198
4,99,26,125
5,99,28,127
5,190,140,330
2,19,29,48
3,35,35,70
4,37,40,77
5,99,36,135
19,1392,1106,2498
2,334,334,668
2,37,37,74
3,99,99,198
4,99,99,198
5,99,99,198
3,340,351,691
2,63,75,138
3,99,99,198
4,99,99,198
5,79,78,157
4,396,258,654
2,99,20,119
3,99,99,198
4,99,40,139
5,99,99,198
5,322,163,485
2,25,24,49
3,99,20,119
4,99,93,192
5,99,26,125
20,1168,734,1902
2,259,135,394
2,21,21,42
3,40,40,80
4,99,27,126
5,99,47,146
3,264,264,528
2,30,30,60
3,36,36,72
4,99,99,198
5,99,99,198
4,315,163,478
2,18,18,36
3,99,99,198
4,99,22,121
5,99,24,123
5,330,172,502
2,99,17,116
3,33,33,66
4,99,34,133
5,99,88,187
21,810,438,1248
2,165,89,254
2,20,20,40
3,23,23,46
4,23,23,46
5,99,23,122
3,241,118,359
2,20,19,39
3,23,22,45
4,99,32,131
5,99,45,144
4,233,138,371
2,12,12,24
3,99,21,120
4,99,84,183
5,23,21,44
5,171,93,264
2,24,21,45
3,99,24,123
4,22,22,44
5,26,26,52
22,974,468,1442
2,253,87,340
2,13,13,26
3,99,15,114
4,42,18,60
5,99,41,140
3,167,151,318
2,15,15,30
3,15,13,28
4,99,99,198
5,38,24,62
4,237,110,347
2,13,13,26
3,26,26,52
4,99,37,136
5,99,34,133
5,317,120,437
2,20,20,40
3,99,34,133
4,99,35,134
5,99,31,130
23,1233,1020,2253
2,326,203,529
2,29,29,58
3,99,33,132
4,99,42,141
5,99,99,198
3,314,236,550
2,99,21,120
3,17,17,34
4,99,99,198
5,99,99,198
4,301,313,614
2,18,18,36
3,85,97,182
4,99,99,198
5,99,99,198
5,292,268,560
2,33,34,67
3,61,36,97
4,99,99,198
5,99,99,198
24,1258,798,2056
2,362,220,582
2,65,35,100
3,99,44,143
4,99,99,198
5,99,42,141
3,267,208,475
2,43,43,86
3,99,99,198
4,26,26,52
5,99,40,139
4,314,132,446
2,99,49,148
3,17,17,34
4,99,36,135
5,99,30,129
5,315,238,553
2,18,18,36
3,99,99,198
4,99,99,198
5,99,22,121
Grand Total,26172,19220,45392
